country_long,name,gppd_idnr,capacity_mw,latitude,longitude,commissioning_year,owner,wepp_id
Argentina,ATUCHA I,ARG0000029,370.0,-33.967,-59.2059,1974.0,NASA,1013180
Argentina,ATUCHA II,ARG0000030,745.0,-33.9674,-59.2045,2014.0,NASA,1101851
Argentina,EMBALSE,ARG0000112,648.0,-32.2316,-64.4422,1984.0,NASA,1013181
Armenia,Armenian-2,WRI1019028,375.0,40.1805,44.1498,1980.0,Armenian Nuclear Power Company,1010334
Belgium,DOEL 4,WRI1002223,2910.0,51.3254,4.2597,1985.0,ELIA Belgian Grid Operator,1014413
Belgium,TIHANGE 1N,WRI1002275,962.0,50.5342,5.2751,1975.0,ELIA Belgian Grid Operator,1014440
Belgium,TIHANGE 3,WRI1002277,2053.8,50.5342,5.2751,1985.0,ELIA Belgian Grid Operator,1014440
Brazil,Almirante Álvaro Alberto - Unidade I (Antiga Angra I),BRA0000100,640.0,-23.0087,-44.4574,1985.0,Agência Nacional de Energia Elétrica (Brazil),
Brazil,Almirante Álvaro Alberto - Unidade II (Antiga Angra II),BRA0000101,1350.0,-23.0072,-44.4588,2000.0,Agência Nacional de Energia Elétrica (Brazil),
Bulgaria,KOZLODUY,WRI1008053,2000.0,43.7438,23.7723,,ENTSOE,1023679
Canada,Bruce A,CAN0002030,3220.0,44.3391,-81.5747,,Bruce Power LP,
Canada,Bruce B,CAN0002031,3390.0,44.319,-81.6027,,Bruce Power LP,28966
Canada,Darlington,CAN0002043,3740.0,43.8697,-78.7239,,Natural Resources Canada,28977
Canada,Pickering A,CAN0002073,1084.0,43.8107,-79.0689,,Natural Resources Canada,29018
Canada,Pickering B,CAN0002074,2160.0,43.8096,-79.0639,,Natural Resources Canada,64093
Canada,Point Lepreau,CAN0002076,660.0,45.0686,-66.4543,,Natural Resources Canada,27406
China,CEFR,WRI1061016,20.0,39.74,116.03,,IAEA,
China,Changjiang,WRI1061017,1220.0,19.46,108.9,,IAEA,1074148
China,Daya Bay,WRI1061018,1888.0,22.6,114.54,,IAEA,1017830
China,Fangchenggang,WRI1061019,2000.0,21.67,108.56,,IAEA,1069436
China,Fangjiashan,WRI1061020,2024.0,30.44,120.94,,IAEA,1071053
China,Fuqing,WRI1061021,4000.0,25.4426,119.444,,IAEA,1065467
China,Hongyanhe,WRI1061022,4183.0,39.8,121.48,,IAEA,1062642
China,Ling Ao,WRI1061023,3914.0,22.6,114.55,,IAEA,1058183
China,Ningde,WRI1061024,4072.0,27.0446,120.2855,,IAEA,1069414
China,Qinshan 2,WRI1061025,4101.0,30.433,120.9501,,IAEA,1012204
China,Tianwan,WRI1061026,1980.0,34.69,119.46,,IAEA,1012202
China,Yangjiang,WRI1061027,4000.0,21.71,112.26,,IAEA,1017829
Czech Republic,Dukonavy,WRI1019175,2040.0,49.0852,16.1479,,CEZ Group,
Czech Republic,Temelín,WRI1019174,2133.0,49.1796,14.3795,2002.0,CEZ Group,1012060
Finland,Loviisa Y1,WRI1002445,992.0,60.3708,26.3468,,Fortum Power & Heat   Power,1019393
Finland,Olkiluoto 1,WRI1002473,1760.0,61.2371,21.4433,,Teollisuuden Voima Oyj,1031223
France,BELLEVILLE,WRI1002693,2620.0,47.5103,2.875,,RTE Transmission Operator,1014654
France,BLAYAIS,WRI1002694,3640.0,45.256,-0.6932,,RTE Transmission Operator,1014665
France,BUGEY,WRI1002701,3580.0,45.7973,5.2706,,RTE Transmission Operator,1014691
France,CATTENOM,WRI1002703,5200.0,49.416,6.2169,,RTE Transmission Operator,1014708
France,CHINON,WRI1002706,3620.0,47.2254,0.1656,,RTE Transmission Operator,1029170
France,CHOOZ,WRI1002707,3000.0,50.09,4.7894,,RTE Transmission Operator,1014734
France,CIVAUX,WRI1002708,2990.0,46.4563,0.6548,,RTE Transmission Operator,1014736
France,CRUAS,WRI1002716,3660.0,44.6325,4.7546,,RTE Transmission Operator,1014746
France,DAMPIERRE,WRI1002720,3560.0,47.7321,2.5185,,RTE Transmission Operator,1014749
France,FESSENHEIM,WRI1002727,1760.0,47.9032,7.5631,,RTE Transmission Operator,1014779
France,FLAMANVILLE,WRI1002728,2660.0,49.5366,-1.8823,,RTE Transmission Operator,1014781
France,GOLFECH,WRI1002733,2620.0,44.106,0.8443,,RTE Transmission Operator,1014796
France,GRAVELINES,WRI1002735,5460.0,51.0141,2.1332,,RTE Transmission Operator,1014801
France,NOGENT,WRI1002749,2620.0,48.5171,3.5181,,RTE Transmission Operator,1014963
France,PALUEL,WRI1002752,5320.0,49.8582,0.6354,,RTE Transmission Operator,1014976
France,PENLY,WRI1002754,2660.0,49.9764,1.2107,,RTE Transmission Operator,1014982
France,ST ALBAN,WRI1002777,2670.0,45.4043,4.7554,,RTE Transmission Operator,
France,ST LAURENT,WRI1002779,1830.0,47.7197,1.5783,,RTE Transmission Operator,
France,TRICASTIN 1,WRI1002782,3660.0,44.3311,4.7311,,RTE Transmission Operator,1015108
Germany,BROKDORF,WRI1005621,1480.0,53.8506,9.345,1986.0,IAEA,1020793
Germany,EMSLAND,WRI1005659,1406.0,52.4716,7.3204,1988.0,IAEA,
Germany,Grohnde,WRI1005703,1360.0,52.0356,9.4135,1985.0,E.ON Kernkraft GmbH,1017668
Germany,ISAR-2,WRI1005849,1485.0,48.6049,12.2936,1988.0,IAEA,1020796
Germany,Kernkraft Gundremmingen,WRI1005856,2572.0,48.515,10.4016,1984.0,Kernkraftwerk Gundremmingen GmbH (KGG),1020803
Germany,NECKARWESTHEIM-2,WRI1005974,1400.0,49.0408,9.1759,1989.0,IAEA,
Germany,PHILIPPSBURG-2,WRI1006001,1468.0,49.2529,8.4364,1984.0,IAEA,1020800
Hungary,Paksi Atomerőmű,WRI1020246,1886.8,46.5739,18.8536,,ENTSOE,
India,DAE RAJASTHAN,IND0000086,100.0,24.8747,75.6189,1972.0,Central Electricity Authority,1024542
India,KAIGA,IND0000170,880.0,14.865,74.4385,2004.0,Central Electricity Authority,1024537
India,KAKRAPARA,IND0000173,440.0,21.2384,73.3489,1993.0,Central Electricity Authority,1024538
India,KUNDANKULAM,IND0000220,2000.0,8.1691,77.1327,2015.0,Central Electricity Authority,1024539
India,Kudankulam,WRI1026848,2000.0,8.1689,77.7126,,IAEA,1024539
India,M.A.P.P.,IND0000242,440.0,12.5571,80.1754,1984.0,Central Electricity Authority,
India,N.A.P.S,IND0000283,440.0,28.156,78.4089,1990.0,Central Electricity Authority,1024541
India,R.A.P.S.,IND0000350,1080.0,24.8747,75.6189,2000.0,Central Electricity Authority,1024542
India,TARAPUR,IND0000445,1400.0,19.8294,72.6617,1996.0,Central Electricity Authority,1024543
Iran,Bushehr,WRI1023916,1000.0,28.8298,50.8857,2011.0,Nuclear Power Production and Development Company of Iran,1031062
Japan,Fukushima Daina,WRI1000678,4400.0,37.3164,141.0265,,Tokyo,
Japan,Genkai,WRI1000687,3478.0,33.5152,129.836,,Kyushu,
Japan,Hamaoka,WRI1000680,3617.0,34.6235,138.1421,,Chubu,
Japan,Higashi-Dori,WRI1000675,1100.0,41.188,141.3903,,Tohoku,
Japan,Ikata,WRI1000686,2022.0,33.4909,132.3088,,Shikoku,1028658
Japan,Kashiwazaki Kariwa,WRI1000679,8212.0,37.4259,138.5941,,Tokyo,
Japan,Mihama,WRI1000682,826.0,35.7024,135.9634,,Kansai,
Japan,Ohi,WRI1000684,4710.0,35.5424,135.6544,,Kansai,1020441
Japan,Onagawa,WRI1000676,2174.0,38.4,141.5,,Tohoku,
Japan,Sendai,WRI1000688,1780.0,31.8335,130.1887,,Kyushu,
Japan,Shika,WRI1000681,1746.0,37.0609,136.7265,,Hokuriku,
Japan,Shimane,WRI1000685,820.0,35.5379,132.9991,,Chugoku,
Japan,Takahama,WRI1000683,3392.0,35.5223,135.5036,,Kansai,1020472
Japan,Tokai Daini,WRI1000689,1100.0,36.4215,140.6028,,Japan Atomic Power Co.,
Japan,Tomari,WRI1000674,2000.0,43.0367,140.5125,,Hokkaido,
Japan,Tsuruga,WRI1000690,1160.0,35.7519,136.0189,,Japan Atomic Power Co.,1018697
Mexico,Laguna Verde,MEX0001769,1510.0,19.7208,-96.4064,,CFE,1013090
Netherlands,Borssele Nuclear Power Station,WRI1019300,485.0,51.4312,3.7174,1973.0,EPZ,1016600
Pakistan,Chasnupp,WRI1001626,1330.0,32.392,71.4616,,Pakistan Atomic Energy Commission,1025125
Pakistan,Kanupp,WRI1001625,137.0,24.845,66.7888,1971.0,Pakistan Atomic Energy Commission,1025126
Romania,NPP Cernavoda,WRI1019093,1298.0,44.3215,28.0568,,ENTSOE,1027021
Russia,Balakovo NPP,WRI1023915,4000.0,52.0928,47.9539,,"JSC ""Concern Rosenergoatom""",1022693
Russia,Beloyarsk,WRI1003666,1480.0,56.8417,61.3225,1964.0,Rosatom,1022694
Russia,Bilibino,WRI1003671,48.0,68.0503,166.5389,,"JSC ""Concern Rosenergoatom""",1022695
Russia,Kalinn NPP,WRI1003717,4000.0,57.905,35.0614,,"JSC ""Concern Rosenergoatom""",1022699
Russia,Kola NPP,WRI1003733,1760.0,67.4667,32.4667,,"JSC ""Concern Rosenergoatom""",1022700
Russia,Kursk,WRI1003744,4000.0,51.675,35.6056,,"JSC ""Concern Rosenergoatom""",
Russia,Leningrad NPP,WRI1003749,4000.0,59.8528,29.0486,,"JSC ""Concern Rosenergoatom""",1022707
Russia,Novovoronezh,WRI1003775,1880.0,51.2822,39.21,,"JSC ""Concern Rosenergoatom""",1022704
Russia,Rostov NPP,WRI1003791,4000.0,47.5993,42.3717,2001.0,Rosatom,
Russia,Smolensk,WRI1003812,3000.0,54.1647,33.2367,,"JSC ""Concern Rosenergoatom""",1022706
Slovakia,Bohunice Nuclear Power Plant Slovakia,GEODB0002385,880.0,48.496,17.6816,,GEODB,1029012
